id,x,y,z,Punch 
210,-37.75634765625,22.4016056060791,12.052647590637207,Hook
211,-38.62015914916992,23.554946899414062,14.21575927734375,Hook
212,-37.926239013671875,22.91127586364746,15.04128360748291,Hook
213,-35.270206451416016,20.889341354370117,14.909677505493164,Hook
214,-30.82673454284668,18.340986251831055,13.720444679260254,Hook
215,-25.36631202697754,16.467405319213867,11.868400573730469,Hook
216,-20.221744537353516,15.763916015625,9.81535816192627,Hook
217,-15.74716567993164,16.65404510498047,8.343772888183594,Hook
218,-11.911471366882324,18.350557327270508,7.202396392822266,Hook
219,-8.614161491394043,20.719451904296875,6.111268997192383,Hook
220,-5.66620397567749,23.621944427490234,4.960321426391602,Hook
221,-3.335594654083252,27.079574584960938,3.524627685546875,Hook
222,-1.069591760635376,30.305099487304688,1.9525432586669922,Hook
223,1.3830515146255493,32.76970672607422,0.27038896083831787,Hook
224,3.9074792861938477,33.856048583984375,-1.3160524368286133,Hook
225,6.879364967346191,33.63112258911133,-2.8283164501190186,Hook
226,10.171889305114746,32.18346405029297,-4.4410786628723145,Hook
227,13.191631317138672,29.726036071777344,-5.795416355133057,Hook
228,15.780665397644043,26.37369155883789,-6.874579429626465,Hook
229,17.984455108642578,22.71027946472168,-7.539783954620361,Hook
230,19.683359146118164,18.776479721069336,-7.848458290100098,Hook
231,20.79841423034668,14.567503929138184,-7.829315662384033,Hook
232,21.705293655395508,10.817951202392578,-7.448856830596924,Hook
233,22.734207153320312,7.590033531188965,-7.04925537109375,Hook
234,23.99283218383789,4.610969066619873,-7.089933395385742,Hook
235,25.050460815429688,2.100898265838623,-6.996613502502441,Hook
236,25.698915481567383,0.3278166949748993,-6.680760860443115,Hook
237,26.14158821105957,-0.7489534616470337,-6.190232276916504,Hook
238,25.95255470275879,-1.5361921787261963,-5.8337016105651855,Hook
239,24.806392669677734,-2.289931297302246,-5.527420520782471,Hook
240,23.1170597076416,-2.9288148880004883,-5.213960647583008,Hook
241,21.121444702148438,-3.273381471633911,-4.878965377807617,Hook
242,18.994226455688477,-3.2207393646240234,-4.661218643188477,Hook
243,16.955541610717773,-2.6273193359375,-4.577469825744629,Hook
244,15.242280006408691,-1.5194423198699951,-4.6301116943359375,Hook
245,13.799407958984375,0.009571290574967861,-4.828716278076172,Hook
246,12.507284164428711,1.5912270545959473,-4.883750915527344,Hook
247,11.138589859008789,3.108276605606079,-4.6301116943359375,Hook
248,9.822537422180176,4.610969066619873,-4.223331928253174,Hook
249,8.417949676513672,6.082555294036865,-3.7567315101623535,Hook
250,6.597012042999268,7.386643409729004,-3.2470602989196777,Hook
251,4.230510234832764,8.250452041625977,-2.682354211807251,Hook
252,1.5864413976669312,8.647661209106445,-1.6893328428268433,Hook
253,-1.160519003868103,8.877371788024902,-0.6460621356964111,Hook
254,-3.7495529651641846,9.832108497619629,0.07417750358581543,Hook
